LawTitle,AdjCode,LawCode,Description,CyclistFlag
NYCTRR,413,4-13,OPERATE TRUCK OFF AUTHORIZED RTE,N
VTL,416,416,OPERATE VEHICLE WITH DEALER PLATES MORE THAN 5 DAYS,N
VTL,601,601,LEAVE SCENE OF INCIDENT - DOMESTIC ANIMAL STRUCK AND INJURED,N
VTL,1102,1102,FAILED TO COMPLY WITH LAWFUL ORDER,N
VTL,1117,1117,FAILED TO STOP AT MALFUNCTIONING TRAFFIC LIGHT,N
VTL,1121,1121,FAILED TO GIVE ONE HALF OF ROADWAY,N
VTL,1124,1124,INTERFERED WITH SAFE OPERATION,N
VTL,1131,1131,DRIVING ON SHOULDER/LIMITED ACCESS HGWY,N
VTL,1141,1141,FAILED TO YIELD RIGHT-OF-WAY ON LEFT TURN,N
VTL,1143,1143,FAILED TO YIELD RIGHT-OF-WAY WHEN ENTERING ROADWAY,N
VTL,1145,1145,FAILED TO YIELD RIGHT-OF-WAY AT TRAFFIC CIRCLE,N
VTL,1146,1146(a),FAILED TO USE DUE CARE BICYCLE/PEDESTRIAN/ANIMAL,N
VTL,1162,1162,UNSAFE STARTING,N
VTL,1165,1165,IMPROPER HAND SIGNAL,N
VTL,1173,1173,FAILED TO STOP FROM ALLEY/DRIVEWAY/PRIVATE ROAD AS REQUIRED,N
VTL,1175,1175,OBSTRUCTING INTERSECTION,N
VTL,1176,1176,OBSTRUCTING RAILROAD CROSSING,N
VTL,1214,1214,OPENED DOOR UNSAFELY,N
VTL,1221,1221,DRIVING THRU SAFETY ZONE,N
VTL,1225,1225,AVOIDING TRAFFIC DEVICE OR INTERSECTION,N
VTL,1226,1226,NO HANDS ON WHEEL OR STEERING DEVICE,N
VTL,1235,1235,CARRYING ARTICLES ON BIKE OR SKATEBOARD,Y
VTL,1235E,1235,CARRYING ARTICLES ON E-BIKE,N
VTL,1238,1238,NO CHILD BICYCLE HELMET,Y
VTL,1456,145(6),UNAUTHORIZED USE OF A FOR HIRE VEHICLE,N
VTL,2501,250(1),UNREGISTERED MOTOR VEHICLE - NON-RESIDENT,N
VTL,2502,250(2),NON-RESIDENT OPERATING MOTOR VEHICLE WITHOUT A LICENSE,N
VTL,3753,375(3),FAILED TO DIM HEADLAMPS,N
VTL,3754,375(4),FAULTY/UNAPPROVED HEADLIGHT,N
VTL,3759,375(9),NO FIRE EXTINGUISHER - OMNIBUS 10 PASS,N
VTL,3762,376(2),INSUFFICIENT WIRING-COMMERICAL VEHICLE,N
VTL,3763,376(3),UNAPPROVED LIGHTS/SIGNALS/REFLECTORS,N
VTL,3812,381(2),UNAPPROVED HEADLAMPS - MOTORCYCLE,N
VTL,3813,381(3),UNAUTHORIZED COLORED LIGHTS - MOTORCYCLE,N
VTL,3814,381(4),INADEQUATE/NO REAR REFLECTOR - MOTORCYCLE,N
VTL,3815,381(5),IMPROPER HANDLEBARS- MOTORCYCLE,N
VTL,3816,381(6),UNAPPROVED/NO PROTECTIVE HELMET MOTORCYCLE,N
VTL,3817,381(7),UNAPPROVED/NO FACE SHIELD/GOGGLES- MOTORCYCLE,N
VTL,3818,381(8),UNAPPROVED/NO WINDSCREEN- MOTORCYCLE,N
VTL,3852,385(2),OVERHEIGHT VEHICLE (13.5 FEET),N
VTL,3856,385(6),OVERLOAD ON SINGLE TIRE,N
VTL,3858,385(8),OVERLOAD ON AXLE,N
VTL,3859,385(9),OVERLOAD ON CONSECUTIVE AXLES,N
VTL,3961,396(1),UNAUTHORIZED FEDERAL/STATE/MUNICIPAL SHIELD LETTERING,N
VTL,3962,396(2),UNAUTHORIZED POLICE SHIELD/SEAL LETTERING,N
VTL,3963,396(3),UNAUTHORIZED FIRE DEPT/SHIELD/SEAL LETTER,N
VTL,4013,401(3),FAILED TO CHANGE ADDRESS ON REGISTRATION,N
VTL,4017,401(7),IMPROPER USE/AGRICULTURAL TRUCK,N
VTL,4021A,402(1)(a),NO LICENSE PLATE OR SINGLE LICENSE PLATE,N
VTL,4021B1,402(1)(b)(i),DIRTY PLATE OR PLATE COVERED BY GLASS OR PLASTIC,N
VTL,4021B2,402(1)(b)(ii),PLATE KNOWINGLY COVERED WITH INTENT TO OBSCURE,N
VTL,4021B3,402(1)(b)(iii),PLATE OBSCURED BY VEHICLE OR ANYTHING CARRIED THEREON,N
VTL,4022,402(2),PLATES NOT ISSUED BY COMMISSIONER,N
VTL,4023,402(3),UNREGISTERED TRAILER,N
VTL,4024,402(4),IMPROPER PLATES,N
VTL,4025,402(5),PERMITTING USE OF IMPROPER PLATES,N
VTL,4026,402(6),PERMITTING USE IN VIOLATION OF PROVISION SECTION 402,N
VTL,4031,403(1),NO/IMPROPERLY AFFIXED REGISTRATION STICKER,N
VTL,4101,410(1),UNREGISTERED MOTORCYCLE,N
VTL,4111,411(1),NO MOTORCYCLE PLATE,N
VTL,4112,411(2),PLATES FROM MORE THAN 1 STATE/NOT ISSUED BY NYS - MOTORCYCLE,N
VTL,4113,411(3),IMPROPER PLATES MOTORCYCLE,N
VTL,4114,411(4),PERMITTING IMPROPER USE OF PLATES ON A MOTORCYCLE,N
VTL,4158,415(8),MISUSE OF DEALER/TRANSPORTER PLATES,N
VTL,4201,420(1),FAILED TO REMOVE PLATES ON TRANSFER,N
VTL,5051,505(1),MUTILATED LICENSE,N
VTL,5055,505(5),FAILURE TO CHANGE ADDRESS ON LICENSE,N
VTL,5091,509(1),UNLICENSED OPERATOR,N
VTL,5092,509(2),OPERATING OUT OF CLASS,N
VTL,5093,509(3),OPERATING IN VIOLATION OF RESTRICTIONS,N
VTL,5094,509(4),PERMITTING UNLICENSED OPERATION,N
VTL,5095,509(5),HOLDING MORE THAN 1 NYS LICENSE,N
VTL,5096,509(6),USING ANOTHERS LICENSE,N
VTL,5097,509(7),OPERATING CMV WITHOUT CDL,N
VTL,5098,509(8),FAILED TO NOTIFY DMV CHANGE OF ADDRESS,N
VTL,5099,509(9),OPERATING WITHOUT FILING NOTICE/DISABILITY,N
VTL,5306,530(6),VIOLATION OF RESTRICTED LICENSE,N
VTL,5511,551(1),ESCORTING WITHOUT CERTIFICATE,N
TBTA,10208,1020.8,FAILED TO OBEY SIGNS,N
TBTA,10212,1021.2,OVERSIZE/WEIGHT VEHICLES,N
TBTA,10231,1023.1,CARELESS/NEGLIGENT OPERATION,N
TBTA,10237,1023.7,EVASION OF TOLL,N
VTL,11301,1130(1),DRIVING OVER DIVIDING SPACE,N
VTL,11302,1130(2),ENTERING EXIT RAMP OF A CONTINUOUS ACCESS HIGHWAY,N
VTL,11967,1196(7)(f),OPERATING IN VIOLATION OF CONDITIONAL LICENSE,N
VTL,12221,1222(1),NO OPERATION UNLESS SEATS SECURE - AUTO TRUCK,N
VTL,12271,1227(1),CONSUMPTION OF ALCOHOL IN MOTOR VEHICLE,N
VTL,12271Z,1227(1),CONSUMPTION OF CANNABIS IN A MOTOR VEHICLE,N
VTL,12331,1233(1),RIDER/SKATER CLINGING TO MOVING MOTOR VEHICLE,Y
VTL,12332,1233(2),ATTACHING SELF TO MOVING MOTOR VEHICLE,Y
VTL,12333,1233(3),PERMITTING CLINGING TO MOTOR VEHICLE,N
VTL,22611,2261(1),UNREGISTERED LIMITED USE VEHICLE,N
VTL,22623,2262(3),LIMITED USE VEHICLE DRIVEN IN UNAUTHORIZED AREA,N
VTL,22641,2264(1),FAILED TO DISPLAY NUMBER PLATES,N
VTL,22644,2264(4),PERMITTING IMPROPER USE OF DEALER PLATES,N
VTL,22651,2265(1),EQUIPMENT VIOLATION LIMITED USE VEHICLE,N
VTL,22671,2267(1),UNREGISTERED DEALER LIMITED USE VEHICLE,N
VTL,37511,375(11),NO SAFETY GLASS - BUS,N
VTL,37512,375(12),NO SAFETY GLASS - MOTOR VEHICLE,N
VTL,37513,375(13),FAILURE TO REPLACE GLASS WITH SAFETY GLASS,N
VTL,37517,375(17),NO/INADEQUATE EMERGENCY REFLECTORS,N
VTL,37518,375(18),NO/INADEQUATE DIRECTIONAL SIGNALS,N
VTL,37519,375(19),OPERATOR PERMITTING OPERATION OF INADEQUATE VEHICLE,N
VTL,37522,375(22),VISIBILITY DISTORTED BROKEN/DISCOLORED GLASS,N
VTL,37523,375(23),NO DOOR HANDLES FOR HIRE VEHICLE,N
VTL,37524,375(24),UNLAWFUL USE OF TV RECEIVING SET,N
VTL,37526,375(26),UNLAWFUL USE OF SIREN OR GONG,N
VTL,37527,375(27),NO/INADEQUATE RED FLAG OR LIGHT ON LOAD,N
VTL,37528,375(28),UNNECESSARY SMOKE,N
VTL,37529,375(29),IMPROPER TOWING /MORE THAN 1 VEH,N
VTL,37530,375(30),DRIVERS VIEW OBSTRUCTED,N
VTL,37531AV,375(31)a,NO/INADEQUATE MUFFLER/EXHAUST SYSTEM,N
VTL,37531BV,375(31)b,SELL OFFER INSTALL ILLEGAL MOD VEHICLE EXHAUST,N
VTL,37534,375(34),NO BACKUP LIGHTS,N
VTL,37537,375(37),NO/IMPROPER CAUTIONARY DEVICE ON FROZEN DESSERT VEHICLE,N
VTL,37542,375(42),UNLAWFUL SPEEDOMETER,N
VTL,37544,375(44),OPERATE DRIVER ED VEHICLE WITH NO STUDENT DRIVER SIGN,N
VTL,38110,381(10),NO REARVIEW MIRROR MOTORCYCLE,N
VTL,38111,381(11),OPERATE MOTORCYCLE NO/ALTERED/ILLEGAL MOD EXHAUST,N
VTL,38112,381(12),OPERATE MOTORCYCLE ILLEGAL MOD EXHAUST,N
VTL,38510,385(10),OVERLOADED VEHICLE 3 OR MORE AXLES,N
VTL,38514,385(14),EXCEEDING BRIDGE CAPACITY/CLEARANCE,N
VTL,38515,385(15),NO OVERWEIGHT/OVERSIZE PERMIT,N
VTL,50910,509(10),HOLD VALID DRIVER LICENSES FROM NY AND OTHER JURISDICTIONS,N
TBTA,102310,1023.1,COASTING PROHIBITED-TBTA,N
VTL,123810,1238(10),NO REFLECTOR AFTER SUNSET,Y
NYCTRR,191762,19-176.2(b),OPERATING MOTORIZED SCOOTER,N
VTL,375411,375(41)(1),UNAUTHORIZED LIGHTS/IMPROPER COLOR,N
VTL,375412,375(41)(2),NON AUTHORIZED EMERGENCY VEHICLE RED LIGHT/WHITE LIGHT USE,N
VTL,375413,375(41)(3),NO AMBER LIGHT,N
VTL,375414,375(41)(4),ILLEGAL BLUE LIGHT-VOLUNTEER FIRE,N
VTL,375415,375(41)(5),NON AUTHORIZED GREEN LIGHT USEAGE- VOLUNTEER AMBULANCE,N
NYCTRR,408E5,4-08(e)(5),STOP IN CROSSWALK,N
NYCTRR,10127B,10-127(b),OWNER NAME/ADDRESS NOT DISPLAYED ON COMMERCIAL VEHICLE,N
TBTA,10208B,1020.8,BICYCLE FAILED TO OBEY SIGNS,Y
TBTA,10221C,1022.1(c),NO FLAT TIRES,N
TBTA,10221CB,1022.1(c),BICYCLE NO FLAT TIRES,Y
TBTA,10231B,1023.1,BICYCLE CARELESS/NEGLIGENT OPERATION,Y
TBTA,10232A,1023.2,UNREGISTERED VEHICLE - REG EXP LESS THAN 60 DAYS,N
TBTA,10233B,1023.3,FAILED TO COMPLY WITH ORDER,N
TBTA,10233BB,1023.3,BICYCLE FAILED TO COMPLY WITH ORDER,Y
VTL,1102B,1102,BICYCLE FAILED TO COMPLY WITH LAWFUL ORDER,Y
VTL,1110A,1110(a),DISOBEYED TRAFFIC DEVICE,N
VTL,1110A,1110(a),DISOBEYED TRAFFIC DEVICE - PAVEMENT MARKINGS,N
VTL,1110AB,1110(a),DISOBEYED TRAFFIC DEVICE WHILE OPERATING BICYCLE,Y
VTL,1110HOV,1110(a),DISOBEYED TRAFFIC DEVICE - HOV LANE,N
VTL,1111A1,1111(a)(1),FAILED TO YIELD RIGHT OF WAY GREEN LIGHT,N
VTL,1111A1B,1111(a)(1),BICYCLE FAILED TO YIELD RIGHT OF WAY GREEN LIGHT,Y
VTL,1111A2D,1111(a)(2),DISOBEYED GREEN ARROW,N
VTL,1111A2F,1111(a)(2),FAILED TO YIELD GREEN ARROW,N
VTL,1111A2X,1111(a)(2),BICYCLE DISOBEYED GREEN ARROW,Y
VTL,1111A2Z,1111(a)(2),BICYCLE FAILED TO YIELD GREEN ARROW,Y
VTL,1111D1C,1111(d)(1),BICYCLE OR SKATEBOARD FAILED TO STOP AT RED LIGHT NYC,Y
VTL,1111D1E,1111(d)(1),DISOBEYING A RED LIGHT ON A BICYCLE WITH ELECTRIC ASSIST,N
VTL,1111D1N,1111(d)(1),NYC REDLIGHT,N
VTL,1111D1R,1111(d)(1),DISOBEYING A RED LIGHT ON AN ELECTRIC SCOOTER,N
VTL,1111D2A,1111(d)(2)(a),FAILED TO YIELD RIGHT OF WAY/RIGHT TURN AT RED SIGNAL,N
VTL,1111D2B,1111(d)(2)(b),FAILED TO YIELD RIGHT OF WAY/LEFT TURN AT RED SIGNAL,N
VTL,1111D3,1111(d)(3),FAILED TO STOP ON A STEADY RED ARROW,N
VTL,1111D5,1111(d)(5),SCHOOL BUS TURN ON RED,N
VTL,1111E,1111(e),FAILED TO OBEY TRAFFIC SIGNAL/SIGN,N
VTL,1113A,1113(a),PASSED FLASHING RED LIGHT,N
VTL,1113B,1113(b),PROCEED WITHOUT CAUTION/FLASHING YELLOW,N
VTL,1114A,1114(a),DISPLAYED UNATHORIZED TRAFFIC CONTROL DEVICE,N
VTL,1114B,1114(b),COMMERCIAL ADVERT ON TRAFFIC SIGN/CONTROL DEVICE,N
VTL,1115A,1115(a),TAMPER WITH OFFICIAL TRAFFIC CONTROL DEVICE,N
VTL,1116D,1116(d),TRAVEL IN LANE CONTROLLED BY RED X SIGNAL,N
VTL,1120A,1120(a),FAILED TO KEEP RIGHT,N
VTL,1120B,1120(b),FAILED TO KEEP RIGHT/SLOW MOVING VEHICLE,N
VTL,1120C,1120(c),FAILED TO KEEP RIGHT/4 OR MORE LANE,N
VTL,1122A,1122(a),PASSED VEHICLE ON RIGHT,N
VTL,1122AU,1122-a,FAILED TO SAFELY PASS A BICYCLE,N
VTL,1122B,1122(b),FAILED TO GIVE RIGHT OF WAY,N
VTL,1123B,1123(b),DROVE OFF PAVEMENT TO PASS ON RIGHT,N
VTL,1125A2,1125(a)(2),DRIVING TO LEFT AT RAILROAD CROSSING,N
VTL,1126A,1126(a),DRIVING TO LEFT OF PAVEMENT MARKINGS,N
VTL,1127A,1127(a),DRIVING WRONG DIRECTION ON ONE WAY STREET,N
VTL,1127AB,1127(a),DRIVING WRONG DIRECTION ON ONE WAY STREET - BICYCLE,Y
VTL,1127B,1127(b),DROVE LEFT AROUND CIRCULAR INTERSECTION,N
VTL,1128A,1128(a),MOVED FROM LANE UNSAFELY/WEAVING,N
VTL,1128B,1128(b),DRIVING IN CENTER LANE,N
VTL,1128C,1128(c),FAILED TO USE DESIGNATED LANE,N
VTL,1128D,1128(d),DROVE ACROSS HAZARD MARKING,N
VTL,1129A,1129(a),FOLLOWING TOO CLOSELY,N
VTL,1129B,1129(b),FAILED TO LEAVE SUFFICIENT SPACE/COMBINATION OF VEHICLES,N
VTL,1140A,1140(a),FAILED TO YIELD RIGHT-OF-WAY AT INTERSECTION,N
VTL,1140B,1140(b),FAILED TO YIELD RIGHT-OF-WAY TO VEHICLE ON RIGHT,N
VTL,1142A,1142(a),FAILED TO YIELD RIGHT-OF-WAY AT STOP SIGN,N
VTL,1142B,1142(b),FAILED TO YIELD RIGHT-OF-WAY AT YIELD SIGN,N
VTL,1144A,1144(a),FAILED TO YIELD RIGHT-OF-WAY TO EMERGENCY VEHICLE,N
VTL,1144AV,1144-a,FAIL TO USE DUE CARE PASSING HAZARD/EMERGENCY VEHICLE,N
VTL,1146A,1146(a),FAILED TO USE DUE CARE BICYCLE/PEDESTRIAN/ANIMAL,N
VTL,1146A1,1146-a(1),FAILED TO USE DUE CARE APPROACHING HORSE,N
VTL,1146A2,1146-a(2),IMPRUDENT SPEED APPROACHING HORSE,N
VTL,1146B,1146(b),FAILED TO USE DUE CARE PERSONAL INJURY,N
VTL,1151A,1151(a),FAILED TO YIELD RIGHT-OF-WAY TO PEDESTRIAN IN CROSSWALK,N
VTL,1151A,1151-a,FAILED TO YIELD RIGHT-OF-WAY TO PEDESTRIAN ON SIDEWALK,N
VTL,1151C,1151(c),PASSED STOPPED VEHICLE AT INTERSECTION,N
VTL,1153A,1153(a),FAILED TO YIELD RIGHT-OF-WAY TO BLIND PERSON,N
VTL,1160A,1160(a),IMPROPER RIGHT TURN AT INTERSECTION,N
VTL,1160B,1160(b),IMPROPER LEFT TURN ON TWO-WAY ROADWAY,N
VTL,1160C,1160(c),IMPROPER LEFT TURN ON ONE-WAY ROADWAY,N
VTL,1160D,1160(d),FAILED TO TURN AS REQUIRED,N
VTL,1160E,1160(e),IMPROPER U-TURN,N
VTL,1161A,1161(a),IMPROPER U-TURN AT GRADE/CURVE,N
VTL,1161B,1161(b),IMPROPER U-TURN IN SCHOOL ZONE,N
VTL,1163AS,1163(a),IMPROPER SIGNAL,N
VTL,1163AT,1163(a),IMPROPER TURN,N
VTL,1163B,1163(b),INSUFFICIENT TURN SIGNAL LESS THAN 100 FEET,N
VTL,1163CD,1163(c),DECREASED SPEED WITHOUT SIGNALING,N
VTL,1163CS,1163(c),STOPPED WITHOUT SIGNALING,N
VTL,1163D,1163(d),FAILED TO SIGNAL LANE CHANGE,N
VTL,1163DI,1163(d),IMPROPER SIGNAL WHEN CHANGING LANES,N
VTL,1163E,1163(e),FAILED TO USE/IMPROPER USE 4-WAY FLASHERS,N
VTL,1164B,1164(b),FAILED TO USE SIGNAL AS REQUIRED,N
VTL,1166A,1166(a),IMPROPER RIGHT TURN,N
VTL,1166B,1166(b),IMPROPER LEFT TURN TWO-WAY ROADWAY,N
VTL,1166C,1166(c),IMPROPER LEFT TURN ONE-WAY ROADWAY,N
VTL,1170A,1170(a),FAILED TO STOP AT RAILROAD CROSSING,N
VTL,1170B,1170(b),DROVE THRU/AROUND/UNDER RAILROAD BARRIER,N
VTL,1172A,1172(a),FAILED TO STOP AT STOP SIGN,N
VTL,1172B,1172(b),FAILED TO STOP AT YIELD SIGN WHEN REQUIRED,N
VTL,1174A,1174(a),FAILED TO STOP SCHOOL BUS,N
VTL,1174B,1174(b),FAILED TO KEEP SCHOOL BUS HALTED/LIGHTED (DRIVER),N
VTL,1180A,1180(a),SPEED NOT REASONABLE AND PRUDENT,N
VTL,1180B,1180(b),SPEEDING,N
VTL,1180C,1180(c),SPEEDING IN SCHOOL ZONE,N
VTL,1180D,1180(d)(1),SPEED OVER POSTED LIMIT,N
VTL,1180D2,1180(d)(2),SPEEDING ON RESTRICTED HIGHWAY,N
VTL,1180DJ,1180(d)(1),SPEED OVER POSTED LIMIT - JR DRIVER,N
VTL,1180E,1180(e),UNREASONABLE SPEED/SPECIAL HAZARDS,N
VTL,1180F,1180(f),SPEEDING IN WORK ZONE,N
VTL,1181A,1181(a),DRIVING TOO SLOW,N
VTL,1181B,1181(b),DRIVING TOO SLOW IN ZONE,N
VTL,11967F,1196(7)(f),OPERATOR IN VIOLATION OF CONDITIONAL LICENSE,N
VTL,1210A,1210(a),UNATTENDED VEHICLE ENGINE RUNNING,N
VTL,1211A,1211(a),BACKING UNSAFELY,N
VTL,1211B,1211(b),BACKING ON CONTROLLED-ACCESS HIGHWAY,N
VTL,1213A,1213(a),DRIVERS VIEW OBSTRUCTED BY OVERLOAD OR TOO MANY PASSENGERS,N
VTL,1213B,1213(b),PASSENGER INTERFERED WITH DRIVER VIEW/CONTROL,N
VTL,1215U,1215,VEHICLE NOT UNDER CONTROL ON MOUNTAIN HIGHWAY,N
VTL,1217F,1217,FOLLOWING FIRE APPARATUS TOO CLOSELY,N
VTL,1217I,1217,INTERFERED WITH FIRE APPARATUS,N
VTL,1219A,1219(a),THREW/DEPOSITED GLASS/ETC ON HIGHWAY,N
VTL,1219AB,1219(a),BICYCLE THREW/DEPOSITED GLASS/ETC ON HIGHWAY,Y
VTL,1220A,1220(a),THREW/DEPOSITED REFUSE/ETC HIGHWAY,N
VTL,1220AB,1220(a),BICYCLE THREW/DEPOSITED REFUSE/ETC HIGHWAY,Y
VTL,1220B,1220-b(4),UNLAWFUL SOLICITATION OF GROUND TRANSP AT AIRPORT,N
VTL,12221A,1222(1)(a),NO OPERATION UNLESS SEATS SECURE,N
VTL,12221C,1222(1)(c),NO OPERATION UNLESS TAILGATE SECURE,N
VTL,1225A,1225-a,DRIVING ON SIDEWALK,N
VTL,1225C2A,1225-c(2)(a),OPERATING MOTOR VEHICLE WHILE ON MOBILE PHONE,N
VTL,1225C2D,1225-c(2)(d),MOTOR CARRIER ALLOW/REQUIRE DRIVER TO USE CELL PHONE IN CMV,N
VTL,1225D,1225-d(1),OPER MOTOR VEHICLE WHILE USING PORTABLE ELECTRONIC DEVICE,N
VTL,1225D1A,1225-d(1-a),MOTOR CARRIER ALLOW/REQ DRIVER TO USE PORT ELECT DEV IN CMV,N
VTL,1229AB,1229-a,BICYCLE/PUSHCART/ANIMAL DRAWN VEHICLE ON EXPRESSWAY,Y
VTL,1229B1,1229-b(1),OPERATING CAMP/CHARTER BUS WITH STANDEES/10 MILES OR MORE,N
VTL,1229C1A,1229-c(1)(a),BACK SEAT PASSENGER LESS THAN 4 NO/IMPROPER RESTRAINT,N
VTL,1229C1B,1229-c(1)(b),BACK SEAT PASSENGER AGE 4-7 NO/IMPROPER RESTRAINT,N
